topic_id;title;pid;video_id;youtube_url
47;[VÍDEO] COMO ASSISTIR WIFI RALPH SOZINHO ,u, KK;47;QQhBp8Klbfk;https://youtu.be/QQhBp8Klbfk
48;[VÍDEO] A HORNET FOI PARA A OFICINA DE REBOQUE;48;nkmmftaGuLs;https://youtu.be/nkmmftaGuLs
49;[VÍDEO] FUI EM UM ENCONTRO DE MOTOS EM FORTALEZA;49;r_-wo69gqwk;https://youtu.be/r_-wo69gqwk
50;[VÍDEO] DEU RUIM COM A HORNET (CHAMEI REBOQUE);50;1zycqbnyAPo;https://youtu.be/1zycqbnyAPo
51;[VÍDEO] FIM DO CANAL?;51;k4GCKUuo60w;https://youtu.be/k4GCKUuo60w
52;[VÍDEO] MOTOVLOG SEM CORTE DE VÍDEO;52;ZmXF9l4d9oQ;https://youtu.be/ZmXF9l4d9oQ
53;[VÍDEO] REAGINDO A VÍDEOS NO MEU SERVIDOR (ADVMUSIC);53;_aotvCngHmg;https://youtu.be/_aotvCngHmg
54;[VÍDEO] O ROLÊ DO "DEU RUIM";54;KtlzH3piCQI;https://youtu.be/KtlzH3piCQI
55;[VÍDEO] O GOULARTE FINALMENTE REAGIU AO AFULEPONCIO (MAIS OU MENOS);55;BwJLQPdTSdI;https://youtu.be/BwJLQPdTSdI
55;[VÍDEO] O GOULARTE FINALMENTE REAGIU AO AFULEPONCIO (MAIS OU MENOS);55;iOKlo3WjYoU;https://youtu.be/iOKlo3WjYoU
56;[VÍDEO] ALGUMAS PARTIDAS DE CS:GO FT. LENON;56;aNcHEa_e8OA;https://youtu.be/aNcHEa_e8OA
57;[VÍDEO] FALANDO SOBRE PROJETOS ANTIGOS DA INTROCDC;57;7LHOgq55JtM;https://youtu.be/7LHOgq55JtM
58;[VÍDEO] VOU TROCAR DE ESCAPE COM A NEGONA?;58;KMxfMxTdX8Y;https://youtu.be/KMxfMxTdX8Y
59;[VÍDEO] TREINEI AIRSOFT NO SHOPPING;59;s3RWrD8kJiw;https://youtu.be/s3RWrD8kJiw
60;[VÍDEO] COISAS POSSÍVEIS DE ACONTECER NA CASA DE UM BRUNO;60;BpVMN0xdNDo;https://youtu.be/BpVMN0xdNDo
61;[VÍDEO] FUI EM UM PULA PULA GIGANTE COM O RAFAEL;61;e1KoFkfdw1Q;https://youtu.be/e1KoFkfdw1Q
62;[VÍDEO] GASTOS DE UM DONO DE HORNET;62;ZZH4bd7BVXU;https://youtu.be/ZZH4bd7BVXU
63;[VÍDEO] INSTALEI UM PLAYSTATION 2 NO CELTA;63;w0QT5IzGVy4;https://youtu.be/w0QT5IzGVy4
64;[VÍDEO] APENAS UM DIA EM FORTALEZA;64;AD_iJdQe_w8;https://youtu.be/AD_iJdQe_w8
65;[VÍDEO] DIA NORMAL E ESTATÍSTICAS DO CANAL;65;6G0G_efJv8M;https://youtu.be/6G0G_efJv8M
66;[VÍDEO] NUNCA ANDE DE HORNET AS 3 DA MANHÃ;66;LlR-ZTL68PQ;https://youtu.be/LlR-ZTL68PQ
67;[VÍDEO] POINT CABRIOCÁRICO INAUGURADO;67;OZ4R-PBsNis;https://youtu.be/OZ4R-PBsNis
68;[VÍDEO] COMPREI UM PLAYSTATION 2 E.E;68;uF1m7ZeDhtQ;https://youtu.be/uF1m7ZeDhtQ
69;[VÍDEO] EXPERIMENTANDO OUTROS SHOPPINGS;69;H6gFH8zV530;https://youtu.be/H6gFH8zV530
70;[VÍDEO] MEU ESTILO DE EDIÇÃO;70;cYdt0Udh-Jc;https://youtu.be/cYdt0Udh-Jc
71;[VÍDEO] HOJE NÃO TEM VÍDEO;71;ZTd4yi2pK4U;https://youtu.be/ZTd4yi2pK4U
72;[VÍDEO] RESOLVI JOGAR CS:GO DO NADA E REPRESENTEI?;72;f8Shuijnucw;https://youtu.be/f8Shuijnucw
73;[VÍDEO] BATI O CARRO NO PRIMEIRO CARVLOG DO ANO;73;fF3Wm4hdq0o;https://youtu.be/fF3Wm4hdq0o
74;[VÍDEO] MINHA RETROSPECTIVA 2018 (REWIND 2018);74;4QiqJu6qDfI;https://youtu.be/4QiqJu6qDfI
74;[VÍDEO] MINHA RETROSPECTIVA 2018 (REWIND 2018);74;C5AdDk0bAA8;https://youtu.be/C5AdDk0bAA8
75;[VÍDEO] FELIZ 2019! RÉVEILLON EM FORTALEZA;75;vMaGZqMfTrA;https://youtu.be/vMaGZqMfTrA
76;[DIÁRIO INTROBASE64] 10/06/2019 - -10.0;76;ztpX3F8VXBc;https://youtu.be/ztpX3F8VXBc
77;[DIÁRIO INTROBASE64] 05/05/2019 - 0.0;77;ZJoVWE0TM1o;https://youtu.be/ZJoVWE0TM1o
78;[DIÁRIO INTROBASE64] 29/04/2019 - -50.0;78;tYsQ9G99fNM;https://youtu.be/tYsQ9G99fNM
78;[DIÁRIO INTROBASE64] 29/04/2019 - -50.0;78;na0fFp6_fvQ;https://youtu.be/na0fFp6_fvQ
78;[DIÁRIO INTROBASE64] 29/04/2019 - -50.0;78;11FtOwgoQrQ;https://youtu.be/11FtOwgoQrQ
79;[DIÁRIO INTROBASE64] 22/04/2019 - -20.0?;79;_M9exNgn2zo;https://youtu.be/_M9exNgn2zo
80;[DIÁRIO INTROBASE64] 13/03/2019 - -25.0;80;T-p426H0WvY;https://youtu.be/T-p426H0WvY
81;[DIÁRIO INTROBASE64] 24/02/2019 - -5.0;81;3DOb5emslc0;https://youtu.be/3DOb5emslc0
82;[VÍDEO] VLOG NOTURNO EM 1ª PESSOA NA BEIRA MAR;82;lYON2i1hfR4;https://youtu.be/lYON2i1hfR4
83;[VÍDEO] FOMOS EM UM LOCAL DE AUTO ESCOLA DE HORNET;83;JMci7IYGvlM;https://youtu.be/JMci7IYGvlM
84;[VÍDEO] COLOQUEI UM ESCAPE SÓ O CANO NA HORNET;84;XkWZfNEOq4k;https://youtu.be/XkWZfNEOq4k
85;[VÍDEO] COMO SOBREVIVER A UM TORÓ;85;BbM0aWt0uNA;https://youtu.be/BbM0aWt0uNA
86;[VÍDEO] CATÁSTROFES EM FORTALEZA;86;xy3RC-U3j-A;https://youtu.be/xy3RC-U3j-A
88;[VÍDEO] RAFAEL REPRESENTANDO NA SUA PRIMEIRA COMUNHÃO;88;o00JkzdQm78;https://youtu.be/o00JkzdQm78
89;[VÍDEO] TROLLEI MEU AMIGO FINGINDO SER ANIVERSÁRIO DELE;89;mp8mFdDlWew;https://youtu.be/mp8mFdDlWew
90;[VÍDEO] ROLÊ DE 2 HORNETS COM MEU TIO GAROTÃO;90;akbITbnSOEE;https://youtu.be/akbITbnSOEE
91;[VÍDEO] COMO FAZER UMA BATATA FRITA CHAVE;91;eoMgvAjqv2Q;https://youtu.be/eoMgvAjqv2Q
92;[VÍDEO] TESTANDO FREE FIRE NO GALAXY J8;92;JYv3j39qG9w;https://youtu.be/JYv3j39qG9w
93;[VÍDEO] UM DIA NORMAL COMO BRUNO;93;-naLIN6lhj0;https://youtu.be/-naLIN6lhj0
94;[VÍDEO] UM DIA COM A FANPIRA;94;DJH8iVRjky8;https://youtu.be/DJH8iVRjky8
95;[VÍDEO] RELATOS DA MEIA NOITE POR BRUNO;95;Umgy-e-uUDg;https://youtu.be/Umgy-e-uUDg
109;[INTROBASE64] Capítulo 14 - “O Natal Brightness”;109;ubDhiTmA2Ns;https://youtu.be/ubDhiTmA2Ns
110;[INTROBASE64] Capítulo 15 - “MapMeel v2 e Pando”;110;JRW4pXNQAN4;https://youtu.be/JRW4pXNQAN4
115;[INTROBASE64] Capítulo 20 - “IntroCraft e o Fim?”;115;8FxrA_ts_KU;https://youtu.be/8FxrA_ts_KU
116;[INTROBASE64] Capítulo 21 - “Indiretas e depressão?”;116;3LA0zu4X4FI;https://youtu.be/3LA0zu4X4FI
116;[INTROBASE64] Capítulo 21 - “Indiretas e depressão?”;116;HRKtVKATSKk;https://youtu.be/HRKtVKATSKk
122;[INTROBASE64] Capítulo 27 - “MapMeel v3 e o Tão esperado encontro”;122;0fiFI5TJemg;https://youtu.be/0fiFI5TJemg
122;[INTROBASE64] Capítulo 27 - “MapMeel v3 e o Tão esperado encontro”;122;A5OT-LmHYHo;https://youtu.be/A5OT-LmHYHo
122;[INTROBASE64] Capítulo 27 - “MapMeel v3 e o Tão esperado encontro”;122;u7pWvLj1sO8;https://youtu.be/u7pWvLj1sO8
122;[INTROBASE64] Capítulo 27 - “MapMeel v3 e o Tão esperado encontro”;122;-I6zlC42cBM;https://youtu.be/-I6zlC42cBM
122;[INTROBASE64] Capítulo 27 - “MapMeel v3 e o Tão esperado encontro”;122;3nwhsMH31CQ;https://youtu.be/3nwhsMH31CQ
136;[VÍDEO] ROLÊ DE HORNET NO CENTRO DE FORTALEZA;136;HS3LZLG--ew;https://youtu.be/HS3LZLG--ew
137;[VÍDEO] JOGUEI CS:GO E MINECRAFT EM UMA SUPER LAN HOUSE;137;JvZqk4kPc7M;https://youtu.be/JvZqk4kPc7M
138;[VÍDEO] TO DE FÉRIAS E.E;138;CaZih8z_6c8;https://youtu.be/CaZih8z_6c8
139;[VÍDEO] RECUPERAÇÃO DE UM HD EXTERNO;139;6YvYhqV8haY;https://youtu.be/6YvYhqV8haY
140;[VÍDEO] UMA NOITE CABRIOCÁRICA;140;_O1rR64TuGk;https://youtu.be/_O1rR64TuGk
141;[VÍDEO] O VERDADEIRO CARVLOG DOS CABRIOCÁRICOS;141;e5bGvLIgX7g;https://youtu.be/e5bGvLIgX7g
